,RMSE,MAE,R2
Random Forest,397.9289902620421,289.8812500826011,0.9962516482900514
XGBoost,378.9796711976179,280.80172323969174,0.9966001402364801
Ensemble,367.12043964604356,269.70680664246345,0.9968095914243316
